last update 2025-12-02,,,,,,,,,
,,,,,,,,,
매체ID,매체이름,매체URL,네이버,파트너,검색포탈,검색영역포함,콘텐츠영역포함,PC영역포함,모바일영역포함
27758,네이버 통합검색 - PC,http://search.naver.com/search.naver,O,,O,O,,O,
8753,네이버 통합검색 - 모바일,http://m.search.naver.com/search.naver,O,,O,O,,,O
122876,네이버 검색탭,http://search.naver.com/search.naver?where=site,O,,O,O,,O,
122875,네이버 통합검색 광고더보기,http://ad.search.naver.com/search.naver,O,,O,O,,O,
11068,네이버 쇼핑 - PC,http://shopping.naver.com,O,,,O,,O,
33421,네이버 쇼핑 - 모바일,http://m.shopping.naver.com,O,,,O,,,O
1525,네이버 지식iN - PC,http://kin.naver.com,O,,,,O,O,
36010,네이버 지식iN - 모바일,http://m.kin.naver.com,O,,,,O,,O
96499,네이버 카페 - PC,http://cafe.naver.com,O,,,,O,O,
96500,네이버 카페 - 모바일,http://m.cafe.naver.com,O,,,,O,,O
118495,ZUM - PC,http://zum.com,,O,O,O,O,O,
118496,ZUM - 모바일,http://m.zum.com,,O,O,O,O,,O
700903,네이버 통합검색 추천형 피드지면 - 모바일,https://m.search.naver.com/search.naver#searchfeed,O,,O,,O,,O
103848,밴드(BAND) - 모바일,http://band.us/,O,,,,O,,O
38367,11번가 - PC,http://www.11st.co.kr,,O,,O,O,O,
38630,11번가 - 모바일,http://m.11st.co.kr,,O,,O,O,,O
37853,2CPU,http://www.2cpu.co.kr,,O,,,O,O,
23650,82cook,http://www.82cook.com,,O,,O,O,O,
335739,Bing-Mobile,https://m.bing.com,,O,O,O,,,O
335738,Bing-PC,https://www.bing.com,,O,O,O,,O,
769945,DVD프라임-모바일,https://dvdprime.com/,,O,,,O,,O
245885,MLB파크-PC,http://mlbpark.donga.com,,O,,O,O,O,
245891,MLB파크-모바일,http://mlbpark.donga.com/,,O,,O,O,,O
419964,OK캐쉬백-모바일,m.okcashbag.com,,O,,O,O,,O
593822,SLR클럽,http://www.slrclub.com,,O,,O,O,O,
593823,SLR클럽-모바일,http://m.slrclub.com,,O,,O,O,,O
66998,YTN,http://www.ytn.co.kr,,O,,,O,O,
67582,YTN - 모바일,http://m.ytn.co.kr,,O,,,O,,O
81750,가생이닷컴,http://www.gasengi.com/,,O,,,O,O,
15121,간호잡,http://www.ganhojob.com,,O,,O,,O,
718848,개드립넷-PC,https://www.dogdrip.net/,,O,,O,O,O,
718849,개드립넷-모바일,https://dogdrip.net/,,O,,O,O,,O
58824,건설워커 - PC,http://www.worker.co.kr,,O,,O,O,O,
74321,건설워커 - 모바일,http://m.worker.co.kr,,O,,O,,,O
49749,교차로 - 모바일,http://kcrapp.icross.co.kr,,O,,O,O,,O
502366,궁금하넷-모바일,https://ggha.net/,,O,,O,O,,O
128029,꼬망세,http://www.edupre.co.kr,,O,,O,O,O,
190272,나무위키-PC,https://namu.wiki/,,O,,,O,O,
190273,나무위키-모바일,https://namu.wiki/w/,,O,,,O,,O
731553,네이트-PC,https://www.nate.com/,,O,,,O,O,
731554,네이트-모바일,https://m.nate.com/,,O,,,O,,O
609156,노써치-모바일,https://nosearch.com/,,O,,O,O,,O
774514,뉴닉-PC,https://newneek.co/,,O,,,O,O,O
655425,뉴덕-PC,https://newduck.net/,,O,,,O,O,
429046,뉴스펍-모바일,http://www.newspub.kr/,,O,,,O,,O
298463,뉴스픽-모바일,http://www.newspic.kr,,O,,,O,,O
23123,다나와 - PC,http://www.danawa.com,,O,,O,O,O,
87620,다나와 - 모바일,http://m.danawa.com,,O,,O,O,,O
612593,다음-PC,https://www.daum.net/,,O,O,O,,O,
612594,다음-모바일,https://m.daum.net/,,O,O,O,,,O
742014,다음카페-PC,https://top.cafe.daum.net/,,O,,,O,O,
742015,다음카페-모바일,https://m.cafe.daum.net/,,O,,,O,,O
168665,다이닝코드 - PC,https://www.diningcode.com/index.php,,O,,,O,O,
168666,다이닝코드 - 모바일,https://m.diningcode.com/,,O,,O,O,,O
769266,닥터나우-모바일,https://company.doctornow.co.kr/company,,O,,,O,,O
593821,더팀스-모바일,https://www.theteams.kr/,,O,,O,O,,O
605402,디미토리-PC,https://www.dmitory.com/,,O,,,O,O,
605403,디미토리-모바일,https://m.dmitory.com/,,O,,,O,,O
718850,디시이슈-모바일,https://issuefeed.dcinside.com/,,O,,,O,,O
139215,디시인사이드 - PC,http://www.dcinside.com,,O,,O,O,O,
131019,디시인사이드 - 모바일,http://m.dcinside.com,,O,,O,O,,O
707083,디시트렌드-모바일,www.dctrend.ai,,O,,,O,,O
67000,디자이너잡,http://www.designerjob.co.kr,,O,,O,O,O,
788865,라이너-PC,https://liner.com/ko,,O,,O,,O,
141121,레포트샵,http://www.reportshop.co.kr/,,O,,O,O,O,
41352,레포트월드,http://www.reportworld.co.kr,,O,,O,O,O,
